
Host: DESKTOP-26BCFJT

Timers On : Thu Nov  3 12:41:31 2022
Timers Off: Thu Nov  3 12:41:39 2022

Wall Time:        8.02 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.817u      0.050s      0.263w      1 calls
build grid                          :      0.583u      0.050s      0.187w      1 calls
post-process grid                   :      0.233u      0.000s      0.076w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.016w      1 calls
Libint2ERI::Libint2ERI              :      0.067u      0.000s      0.023w      4 calls
DFH: initialize()                   :      2.833u      0.083s      0.876w      1 calls
Libint2ErfERI::Libint2ErfERI        :      0.050u      0.000s      0.017w      1 calls
DFH: AO Construction                :      0.583u      0.000s      0.180w      2 calls
DFH: AO-Met. Contraction            :      0.750u      0.000s      0.228w      4 calls
DFH: wAO Construction               :      0.617u      0.017s      0.187w      2 calls
DFH: wAO Copy                       :      0.083u      0.000s      0.021w      2 calls
HF: Form core H                     :      0.017u      0.000s      0.006w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.003w      1 calls
HF: Guess                           :      0.300u      0.000s      0.091w      1 calls
SAD Guess                           :      0.283u      0.000s      0.089w      1 calls
HF: Form G                          :     16.650u      0.083s      5.014w      8 calls
RV: Form V                          :     15.400u      0.017s      4.620w      8 calls
Properties                          :      4.385p                          13152 calls
Functional                          :      1.676p                          13152 calls
V_xc                                :      3.119p                          13152 calls
JK: D                               :      0.000u      0.000s      0.000w      8 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      8 calls
JK: JK                              :      1.250u      0.067s      0.392w      8 calls
DFH: compute_JK()                   :      0.533u      0.050s      0.176w      8 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      8 calls
DFH: compute_J                      :      0.133u      0.000s      0.044w      8 calls
DFH: compute_K                      :      0.383u      0.033s      0.122w      8 calls
DFH: compute_wK()                   :      0.700u      0.017s      0.215w      8 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.133u      0.033s      0.052w      7 calls
HF: Form C                          :      0.050u      0.000s      0.016w      7 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.817u      0.050s      0.263w      1 calls
| build grid                        :      0.583u      0.050s      0.187w      1 calls
| post-process grid                 :      0.233u      0.000s      0.076w      1 calls
DFH: sparsity prep                  :      0.017u      0.000s      0.016w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.010w      1 calls
DFH: initialize()                   :      2.833u      0.083s      0.876w      1 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.012w      3 calls
| Libint2ErfERI::Libint2ErfERI      :      0.050u      0.000s      0.017w      1 calls
| DFH: AO Construction              :      0.583u      0.000s      0.180w      2 calls
| DFH: AO-Met. Contraction          :      0.750u      0.000s      0.228w      4 calls
| DFH: wAO Construction             :      0.617u      0.017s      0.187w      2 calls
